Name of Borrower,Civil Status,Date of Birth,Place of Birth,Citizenship,Home Address,Home Address Ownership,Government Issued ID,Mobile No.,Email,Mother’s Maiden Name,Registered Business Name,Principal Business Address,Business Address Ownership,Years in Operation,Website/Social Media,Land Size (hectares),Annual Sales/Revenue,Loan Amount Applied For,Tenor (months),Repayment Frequency,Loan Facility,Loan Purpose,Type of Loan,Collateral,Source of Funds,Primary Crop Type,Farming Method,Irrigation Practices,Fertilizer & Pesticide Use,Soil & Water Conservation,Use of Renewable Energy,Employment (Workers),Fair Wages,Community Participation,Training & Education,Inclusivity,Record-Keeping,Certifications,Regular Buyers,Business Compliance,Environmental Score,Social Score,Governance Score,Business Score,Financial Score,AgriScore,Risk Category,Improvement Tips
Raymond Phillips,Separated,06/01/1976,Christopher Ville,Filipino,"Room 2321 Caraballo Building, 86 Peridot Drive Extension, Ivisan, 2268 Bulacan",Owned (mortgaged),PhilSys-4214-6404,09369378547,lopezshane@example.net,Hunt,Garcia Farm,"1525 Narra Street, Aquamarine Homes, Quezon City, 1194 Metro Manila",Living with relatives,15,facebook.com/maxwellfarm,2.51,933592,234641,24,Monthly,Term Loan,Construction/Development of real estate,Unsecured Loan,Others,Revenue,Rice (Irrigated),Conventional,Rain-fed,Synthetic,Composting,Yes,1,Yes,Coop Member,Attended training,None,Digital,GAP,Local sari-sari stores,None,9,15,6,9,16,55,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Kristin Haney,Widow/er,03/01/1976,Gina Ville,Filipino,"Block 16 Lot 19 Jackson Grove Phase 7, Ruby Street, Madalag, 2880 Ilocos Norte",Owned (unencumbered),PhilSys-1108-9719,09860084840,mwheeler@example.com,Rodriguez,Torres Farm,"Block 11 Lot 57 Lumbayao Estates 5, Topaz Street, Dinapigue, 9462 Davao Oriental",Living with relatives,26,facebook.com/thompsonfarm,9.46,287974,106107,12,Lump sum,Credit line,Construction/Development of real estate,Unsecured Loan,Others,Salary/Allowance,Vegetables,Mixed,Drip,Synthetic,Crop Rotation,No,6,No,Not involved,Attended training,None,Manual,GAP,Local sari-sari stores,Business Plan,18,4,9,14,12,57,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Francis Navarro,Single,01/22/1993,Mark Ville,Filipino,"Block 04 Lot 73 76th Street, Maldonado Village Phase 1, Palo, 8258 Maguindanao",Living with relatives,PhilSys-7213-7179,09870021765,marie16@example.net,Porter,Schultz Farm,"Room 2125 Cole Towers 8, 9540 Palali Road, Mina, 4076 Apayao",Owned (unencumbered),29,facebook.com/gibbsfarm,5.75,144618,170463,24,Lump sum,Term Loan,Acquisition of real estate,Unsecured Loan,Farm lot title,Others,Vegetables,Conventional,Flood,Synthetic,Crop Rotation,Yes,9,Yes,Not involved,No training,Female-led,Digital,Fair Trade,Rice mill,None,12,9,6,12,10,49,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Steven Herrera,Annulled,06/06/1965,Kayla Ville,Filipino,"726 Pandan Road Extension, Chico Subdivision 2, Alangalang, 2253 Ilocos Sur",Rented,PhilSys-7288-3292,09185016315,williamstone@example.net,Watts,Walker Farm,"B12 L04 Banahaw Drive, Wilson Estates 6, Langiden, 3255 Pampanga",Living with relatives,25,facebook.com/muellerfarm,3.94,764926,193302,48,Annually,Credit line,Acquisition of real estate,Secured Loan,None,Asset Sale,Coconut,Transitioning to Organic,Rain-fed,Combination,Mulching,Yes,1,Yes,Supplier to community,Attended training,Employs women,None,Fair Trade,None,DTI,18,15,7,8,14,62,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Hannah Davis,Separated,06/08/1990,Carlos Ville,Filipino,"371 Turquoise Avenue, Catubig, 8399 Misamis Oriental",Owned (unencumbered),PhilSys-2499-1085,09475412126,andrearivera@example.com,Mullen,Hall Farm,"6482 G Mclaughlin Street, Orion, 4275 Oriental Mindoro",Living with relatives,18,facebook.com/pricefarm,5.99,527865,104155,12,Weekly,Term Loan,Business expansion,Unsecured Loan,Others,Salary/Allowance,Vegetables,Transitioning to Organic,Rain-fed,Synthetic,Water-Saving,No,1,Yes,Not involved,Attended training,None,Digital,Fair Trade,Rice mill,DTI,14,10,11,11,15,61,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Christine Goodwin,Separated,11/27/1963,Lauren Ville,Filipino,"4299 Unit B Taurus Road, Tinambac, 3133 Nueva Ecija",Rented,PhilSys-9079-3390,09126464715,wmatthews@example.com,Bruce,Williamson Farm,"41F Powers Place Tower 2, 3909 Aquamarine Boulevard Extension, Calbayog, 9592 Lanao del Norte",Rented,8,facebook.com/barnesfarm,7.49,619886,361325,24,Annually,Credit line,Construction/Development of real estate,Secured Loan,Farm lot title,Inheritance,Vegetables,Transitioning to Organic,Drip,Synthetic,Mulching,No,10,Yes,Supplier to community,No training,None,None,Fair Trade,None,DTI,20,9,7,7,13,56,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
James Lopez,Married,03/19/1996,Angela Ville,Filipino,"879-H Agate Road, Del Gallego, 5289 Nueva Ecija",Living with relatives,PhilSys-6228-5775,09793564651,fortiz@example.com,Mckinney,Wallace Farm,"506 38th Avenue, Medina Estates Phase 8, Santo Niño, 4891 Quezon",Owned (mortgaged),19,facebook.com/dunnfarm,9.98,288667,407413,12,Annually,Credit line,Loan takeout/refinancing,Secured Loan,Farm lot title,Inheritance,Coconut,Transitioning to Organic,Flood,Combination,Mulching,Yes,4,Yes,Not involved,No training,Employs women,Manual,Barangay Certificate,None,None,21,8,4,10,10,53,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Brian Hampton,Annulled,08/11/1984,Kathleen Ville,Filipino,"B24 L84 39th Street, Cole Homes Phase 2, New Lucena, 5494 Benguet",Living with relatives,PhilSys-9907-1602,09589113529,jasonrojas@example.net,Bell,Page Farm,"3391 D Hudson Road, Sugbongcogon, 6803 Cebu",Owned (unencumbered),19,facebook.com/morrisfarm,9.85,810380,389079,48,Quarterly,Term Loan,Working capital,Unsecured Loan,Farm lot title,Savings,Rice (Rain-fed),Organic,Sprinkler,Synthetic,Water-Saving,No,10,Yes,Supplier to community,Attended training,Employs women,Manual,GAP,None,Business Plan,26,15,9,10,15,75,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Donna Adams,Single,08/26/1994,Derek Ville,Filipino,"B23 L17 Thomas Homes 4, Planet Road, Sibonga, 8500 Sulu",Owned (mortgaged),PhilSys-6707-6110,09573875717,ebrooks@example.net,Norton,Mack Farm,"20F Malugay Suites 6, 9535 Melton Street, Bayugan, 4843 Pampanga",Living with relatives,11,facebook.com/reidfarm,1.6,146853,474770,12,Weekly,Term Loan,Purchase of equipment/motor vehicles,Unsecured Loan,Tractor,Others,Rice (Rain-fed),Organic,Flood,Synthetic,None,No,7,Yes,Supplier to community,Attended training,Female-led,None,Barangay Certificate,None,Business Plan,19,16,7,4,10,56,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Sarah Flynn,Annulled,09/17/1986,Tammy Ville,Filipino,"Block 11 Lot 71 Knight Village, Zircon Street, Badian, 2257 Pampanga",Owned (mortgaged),PhilSys-8365-8037,09603341918,martinezmia@example.com,Bryant,Braun Farm,"Room 3620 Baxter Place, 1530 Orion Drive, Maitum, 4571 Camarines Norte",Owned (mortgaged),12,facebook.com/williamsfarm,3.93,579776,109745,36,Annually,Term Loan,Business expansion,Secured Loan,Others,Inheritance,Corn,Conventional,Drip,Synthetic,Water-Saving,Yes,10,No,Not involved,Attended training,None,Manual,GAP,Local sari-sari stores,Barangay Clearance,16,4,9,9,15,53,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Molly Fischer,Separated,11/08/1988,Jane Ville,Filipino,"2175 Camia Road, Ocampo, 1888 Abra",Owned (unencumbered),PhilSys-3999-7116,09286692966,lisa62@example.com,Jones,Reyes Farm,"1691 Moonstone Street, Calanogas, 6483 Capiz",Owned (mortgaged),16,facebook.com/mayfarm,6.72,827117,388302,24,Lump sum,Credit line,Loan takeout/refinancing,Secured Loan,Tractor,Asset Sale,Vegetables,Transitioning to Organic,Rain-fed,Synthetic,Crop Rotation,No,2,Yes,Supplier to community,No training,Employs women,None,Barangay Certificate,None,None,14,11,2,8,12,47,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Andrea Elliott,Widow/er,10/25/1970,Michael Ville,Filipino,"7249 Unit J 12th Street, Calauag, 5752 Northern Samar",Owned (mortgaged),PhilSys-2354-1505,09340438427,sylvia52@example.org,Hill,Miller Farm,"9955 Agate Street, Anubing Village 9, Datu Blah T. Sinsuat, 4913 Nueva Vizcaya",Living with relatives,18,facebook.com/phillipsfarm,5.6,700534,109877,36,Lump sum,Term Loan,Business expansion,Unsecured Loan,None,Salary/Allowance,Rice (Rain-fed),Transitioning to Organic,Rain-fed,Combination,Composting,No,0,No,Supplier to community,No training,Female-led,Digital,Organic,Rice mill,Barangay Clearance,17,6,11,11,12,57,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Steven Blevins,Annulled,04/28/1993,Daniel Ville,Filipino,"8656 Hatfield Street, Cagayancillo, 6492 Samar",Rented,PhilSys-8015-3719,09923309584,amy27@example.org,Smith,Jones Farm,"991 Mayon Drive, Pozorrubio, 4992 Occidental Mindoro",Owned (mortgaged),11,facebook.com/hendersonfarm,9.81,406849,201693,36,Lump sum,Credit line,Construction/Development of real estate,Secured Loan,Farm lot title,Savings,Coconut,Organic,Flood,Organic,Composting,No,3,No,Supplier to community,Attended training,None,None,GAP,None,None,27,7,2,8,12,56,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Martin Medina,Widow/er,01/13/1970,Christopher Ville,Filipino,"5354 I Palanan Road, Tubay, 4639 Bataan",Owned (unencumbered),PhilSys-2525-7600,09845775901,holly30@example.org,Miller,Hamilton Farm,"902 Zircon Street, Wilson Estates 1, Catmon, 3883 Masbate",Living with relatives,21,facebook.com/millsfarm,6.98,475623,495700,12,Lump sum,Term Loan,Construction/Development of real estate,Secured Loan,Tractor,Inheritance,Vegetables,Mixed,Drip,Synthetic,None,Yes,9,No,Supplier to community,Attended training,Female-led,Manual,Barangay Certificate,Local sari-sari stores,Business Plan,17,10,9,12,9,57,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Michelle Jackson,Married,04/13/1968,Jessica Ville,Filipino,"5489 Halcon Road, Indang, 9861 Sulu",Living with relatives,PhilSys-8479-1011,09632424154,crawfordwilliam@example.org,Porter,Bradley Farm,"B19 L87 Perez Village 1, Trevino Avenue, Badian, 3782 Mountain Province",Owned (unencumbered),12,facebook.com/reyesfarm,6.98,780432,136782,12,Annually,Term Loan,Purchase of equipment/motor vehicles,Unsecured Loan,None,Others,Rice (Irrigated),Conventional,Rain-fed,Organic,Water-Saving,Yes,2,Yes,Not involved,No training,Female-led,Manual,GAP,Local sari-sari stores,None,14,9,4,11,16,54,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Timothy Mathews,Married,04/08/1997,Jeffrey Ville,Filipino,"5F Duncan Building 9, 863 29th Street, Badian, 3492 Bataan",Living with relatives,PhilSys-2160-4751,09611155426,xcline@example.com,Murphy,Tran Farm,"4980-J Juno Road, Taguig, 0800 Metro Manila",Owned (mortgaged),21,facebook.com/oconnorfarm,9.94,249792,85867,12,Lump sum,Credit line,Loan takeout/refinancing,Secured Loan,Tractor,Others,Coconut,Organic,Sprinkler,Combination,Water-Saving,Yes,1,Yes,Coop Member,Attended training,None,None,Barangay Certificate,Supermarket,None,30,15,2,13,10,70,Medium Risk,Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Rebecca Hernandez,Separated,07/20/1987,Jesse Ville,Filipino,"Unit 4501 Carrot Building 4, 8681 54th Road, Balete, 5791 Iloilo",Owned (mortgaged),PhilSys-5059-5537,09138999404,williamsjesse@example.net,Gutierrez,Huang Farm,"Unit 1433 Walsh Residences 2, 9698 Asparagus Highway, Cabuyao, 2819 Kalinga",Owned (mortgaged),17,facebook.com/greenfarm,6.46,297810,442085,48,Quarterly,Credit line,Purchase of biological asset,Unsecured Loan,None,Inheritance,Rice (Irrigated),Organic,Sprinkler,Combination,None,Yes,8,Yes,Supplier to community,No training,Female-led,Digital,None,None,DTI,28,12,9,8,10,67,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Robert Haynes,Annulled,11/06/1981,Shawn Ville,Filipino,"1786 J 14th Boulevard, San Juan, 1043 Metro Manila",Owned (mortgaged),PhilSys-8717-2195,09091043006,wmartinez@example.org,Hayes,Ford Farm,"2583 Mars Street, Surigao City, 7165 Cotabato",Rented,21,facebook.com/hufffarm,7.41,904373,267806,48,Annually,Credit line,Purchase of equipment/motor vehicles,Unsecured Loan,Warehouse receipt,Revenue,Vegetables,Conventional,Flood,Organic,None,No,6,Yes,Supplier to community,No training,None,Manual,Organic,Rice mill,Business Plan,12,9,9,12,16,58,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Brandon Wright,Widow/er,11/09/1983,William Ville,Filipino,"7409G Tamarind Road, Besao, 3742 Batangas",Owned (unencumbered),PhilSys-8428-1901,09421020275,davidbrown@example.org,Anderson,Colon Farm,"Unit 1417 Johnson Building, 3240 Sagittarius Street, Bayog, 5420 Marinduque",Rented,6,facebook.com/martinezfarm,4.35,886197,459533,36,Weekly,Credit line,Acquisition of real estate,Secured Loan,Warehouse receipt,Salary/Allowance,Rice (Irrigated),Mixed,Rain-fed,Synthetic,Water-Saving,No,0,No,Not involved,Attended training,Employs women,Manual,GAP,Local sari-sari stores,Business Plan,11,6,9,9,13,48,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Amber Glass,Married,02/14/1989,Tyler Ville,Filipino,"3067-D Jade Highway, Candijay, 5070 Guimaras",Owned (unencumbered),PhilSys-1721-1201,09307562208,victor87@example.org,Miller,Reyes Farm,"Room 1635 Mayo Residences, 7860 Zinia Road, Santo Niño, 3907 Laguna",Living with relatives,8,facebook.com/pricefarm,3.9,536476,427638,36,Quarterly,Credit line,Business expansion,Secured Loan,Farm lot title,Salary/Allowance,Coconut,Conventional,Flood,Organic,None,Yes,6,Yes,Supplier to community,No training,Employs women,Digital,Organic,None,Business Plan,14,11,11,5,12,53,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Francis Robinson,Separated,10/06/1978,Lindsey Ville,Filipino,"3814 13th Drive, Adams Cove 4, Siayan, 5417 Nueva Ecija",Owned (mortgaged),PhilSys-5777-5979,09937597383,savannah22@example.org,Watkins,Drake Farm,"463 Neptune Street, Hart Grove, Pintuyan, 6810 Leyte",Owned (mortgaged),1,facebook.com/thompsonfarm,9.39,125071,172157,36,Weekly,Term Loan,Working capital,Secured Loan,Warehouse receipt,Revenue,Rice (Rain-fed),Organic,Sprinkler,Synthetic,Crop Rotation,Yes,4,Yes,Coop Member,Attended training,None,Digital,GAP,None,Business Plan,28,15,11,7,13,74,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Anthony Guzman,Annulled,01/01/1961,Aaron Ville,Filipino,"B11 L08 Hernandez Estates 2, Gladiola Street, Malabang, 9120 South Cotabato",Owned (unencumbered),PhilSys-9280-3187,09619906234,rogersmarcus@example.org,Oconnor,Kim Farm,"Block 06 Lot 91 Sampaloc Street, Azalea Estates Phase 7, Lagonoy, 6303 Capiz",Rented,28,facebook.com/thompsonfarm,3.84,939717,256020,36,Quarterly,Term Loan,Acquisition of real estate,Unsecured Loan,Farm lot title,Asset Sale,Rice (Rain-fed),Conventional,Flood,Organic,Composting,No,7,No,Supplier to community,Attended training,None,Digital,Fair Trade,None,DTI,15,7,11,8,17,58,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Michael Berry,Widow/er,04/06/1998,Ian Ville,Filipino,"3620 Canopus Street, Rivera Cove Phase 4, Lugait, 8708 Compostela Valley",Rented,PhilSys-2964-2481,09249035213,underwoodelizabeth@example.net,Tanner,Griffin Farm,"4206F Le Avenue, New Bataan, 4850 Occidental Mindoro",Rented,13,facebook.com/costafarm,5.62,810078,206678,36,Monthly,Credit line,Loan takeout/refinancing,Secured Loan,Others,Others,Corn,Organic,Rain-fed,Synthetic,Crop Rotation,Yes,1,Yes,Coop Member,Attended training,Female-led,Manual,Barangay Certificate,Supermarket,Business Plan,21,18,9,10,16,74,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Katherine Gray,Annulled,10/20/1996,Craig Ville,Filipino,"3696 58th Avenue, Phillips Homes 5, Boliney, 7303 Davao Oriental",Rented,PhilSys-2228-1357,09137215107,pamelamartin@example.org,Payne,Villanueva Farm,"7910 Antares Highway, Lawson Subdivision 3, Las Piñas, 0607 Metro Manila",Owned (unencumbered),6,facebook.com/riverafarm,9.32,554197,480799,48,Annually,Credit line,Loan takeout/refinancing,Secured Loan,Tractor,Savings,Rice (Rain-fed),Organic,Drip,Synthetic,Water-Saving,Yes,0,Yes,Not involved,No training,Employs women,Digital,None,None,Business Plan,28,8,9,8,8,61,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Jennifer Spencer,Single,05/26/1996,Donna Ville,Filipino,"6438 Mayapis Street, Caraga, 2073 Mountain Province",Rented,PhilSys-7275-3248,09638380657,pattersonkelly@example.net,Weber,Castillo Farm,"1343 E Banahaw Drive, Pateros, 1364 Metro Manila",Living with relatives,12,facebook.com/burnsfarm,9.21,626797,218613,48,Quarterly,Credit line,Working capital,Secured Loan,Others,Asset Sale,Rice (Irrigated),Mixed,Rain-fed,Synthetic,None,No,9,Yes,Coop Member,Attended training,Female-led,None,Fair Trade,Supermarket,Business Plan,8,18,7,12,16,61,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Anna Stephens,Married,03/24/1972,Nicole Ville,Filipino,"4314 Mariveles Drive, Itogon, 4161 Aurora",Living with relatives,PhilSys-6813-3846,09239559059,karencontreras@example.org,Barnett,Morton Farm,"3728 Asparagus Street, Santol Village, Sergio Osmeña Sr., 5561 Ilocos Norte",Owned (mortgaged),19,facebook.com/alvarezfarm,9.54,977340,474883,48,Lump sum,Term Loan,Construction/Development of real estate,Secured Loan,Farm lot title,Revenue,Rice (Irrigated),Organic,Flood,Organic,None,No,0,No,Not involved,Attended training,Female-led,Digital,Fair Trade,Supermarket,Business Plan,24,7,11,13,10,65,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Steven Klein,Single,10/24/1993,David Ville,Filipino,"2068 D Henderson Street, Nasipit, 2677 Cagayan",Owned (mortgaged),PhilSys-3320-2817,09851569154,luis11@example.com,Hawkins,Arnold Farm,"7507 Buchanan Road, Cordillera Subdivision 3, Candelaria, 9820 South Cotabato",Rented,5,facebook.com/aguilarfarm,9.78,867926,279044,48,Quarterly,Credit line,Purchase of equipment/motor vehicles,Secured Loan,Tractor,Others,Corn,Organic,Sprinkler,Synthetic,Mulching,Yes,2,Yes,Not involved,No training,None,Manual,Fair Trade,Supermarket,Barangay Clearance,27,6,9,10,15,67,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Ariel Garcia,Annulled,07/09/1966,Mikayla Ville,Filipino,"Block 21 Lot 63 Jasper Estates Phase 5, Bulusan Road, Marogong, 7158 Lanao del Norte",Owned (unencumbered),PhilSys-9129-3304,09513552157,hannah07@example.com,Prince,Smith Farm,"Block 09 Lot 63 Compton Grove 3, Peridot Street, Lawaan, 8503 Tawi-Tawi",Owned (unencumbered),9,facebook.com/butlerfarm,2.89,826847,85543,36,Quarterly,Credit line,Purchase of equipment/motor vehicles,Unsecured Loan,Farm lot title,Inheritance,Fruits,Transitioning to Organic,Flood,Synthetic,Water-Saving,No,5,No,Coop Member,No training,None,None,Fair Trade,Rice mill,None,17,5,2,8,18,50,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Chelsea Lewis,Single,05/10/1987,Katherine Ville,Filipino,"2605 Collins Road, Deleon Village 1, Coron, 8189 Zamboanga Sibugay",Owned (unencumbered),PhilSys-5831-1328,09541152621,marywright@example.com,Williams,Ward Farm,"Block 17 Lot 51 Maldonado Grove 6, Pao Highway, Paoay, 4253 Sorsogon",Owned (unencumbered),11,facebook.com/baileyfarm,6.35,743453,303093,12,Annually,Credit line,Business expansion,Secured Loan,Tractor,Revenue,Rice (Irrigated),Mixed,Flood,Organic,Water-Saving,No,10,No,Supplier to community,Attended training,Female-led,Manual,Barangay Certificate,None,Barangay Clearance,19,10,9,7,15,60,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Steven Curry,Single,10/18/1965,Anthony Ville,Filipino,"3512 83rd Drive, Adams Subdivision 9, Aloguinsan, 5491 Abra",Rented,PhilSys-1062-8005,09149731032,pbuck@example.org,Burke,Smith Farm,"Block 14 Lot 49 Mayapis Grove Phase 4, Hibok-Hibok Road Extension, Tampilisan, 3476 Zambales",Rented,3,facebook.com/garciafarm,5.26,221119,211665,48,Annually,Term Loan,Purchase of equipment/motor vehicles,Secured Loan,Farm lot title,Others,Corn,Transitioning to Organic,Flood,Synthetic,Water-Saving,No,2,No,Coop Member,No training,Employs women,Digital,GAP,Rice mill,DTI,17,7,11,8,10,53,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Mary Bridges,Annulled,02/10/1985,Kenneth Ville,Filipino,"Block 21 Lot 42 Baticulin Homes, 20th Road, Gubat, 2082 Nueva Vizcaya",Owned (unencumbered),PhilSys-3476-2584,09158693806,erin07@example.com,Green,Barnes Farm,"9553 Gemini Drive Extension, Gainza, 4661 Romblon",Living with relatives,18,facebook.com/littlefarm,7.18,597889,350267,24,Annually,Term Loan,Working capital,Secured Loan,Farm lot title,Salary/Allowance,Corn,Organic,Rain-fed,Synthetic,Composting,Yes,3,Yes,Coop Member,Attended training,Employs women,Manual,Barangay Certificate,Rice mill,Barangay Clearance,21,17,9,12,12,71,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Todd Howard,Annulled,01/28/1980,Mary Ville,Filipino,"B24 L34 Zodiac Street, Arroyo Homes 2, Gainza, 3305 Ifugao",Rented,PhilSys-6238-2097,09168685487,robert55@example.com,Richards,Ford Farm,"9562 Oliva Avenue, Marikina, 1424 Metro Manila",Owned (unencumbered),26,facebook.com/wilsonfarm,7.3,716118,323972,48,Weekly,Term Loan,Construction/Development of real estate,Unsecured Loan,Others,Salary/Allowance,Corn,Conventional,Rain-fed,Combination,Crop Rotation,No,8,No,Supplier to community,No training,Employs women,None,Barangay Certificate,None,Business Plan,10,5,7,10,15,47,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
